# id_vlba RUNNING_ID_name     bmaj    bmin    bpa      ra_peak      dec_peak   ra_peak_err dec_peak_err p_spur     rms_image   peak_flux   peak_dflux  snr_peak tot_flux    tot_dflux   snr_tot  FLUX_VLBA   L_VLBA      L_VLBA_1sigma sep_arcsec ID_COSMOS RA_counterpart DEC_counterpart cat_counterpart zbest      zphot  zspec      zspec_ref Mstar    SNR_IR   SFR_IR        eSFR_IR        vla_slope   f1p4ghz_peak_final f1p4ghz_final df1p4ghz_final f3ghz_peak  f3ghz     df3ghz   f1p4ghz      df1p4ghz    f1p3ghz     df1p3ghz   f600mhz     df600mhz  f300mhz     df300mhz   LIR_SD      Lradio_1p4ghz q_IR       q_IR_z0    flux_ratio_vlba_vla delta_q_IR q_IR_corr  q_IR_z0_corr flag_A3COSMOS LIR_A3COSMOS id_cluster flag_cluster dist_center_arcmin dist_real_center_arcmin xray_det id_chandra Lx_2_10 
  0       VLBA_COSMOS_NEP0000 26.5744 4.3753  161.8671 -99.0        -99.0      -99.0       -99.0        -99.0      4.994192E-6 -99.0       -99.0       -99.0    -99.0       -99.0       -99.0    -99.0       -99.0       -99.0         -99.0      -99       -99.0          -99.0           N/A             -99.0      -99.0  -99.0      -99       -99.0    -99.0    -99.0         -99.0          -99.0       -99.0              -99.0         -99.0          -99.0       -99.0     -99.0    -99.0        -99.0       -99.0       -99.0      -99.0       -99.0     -99.0       -99.0      -99.0       -99.0         -99.0      -99.0      -99.0               -99.0      -99.0      -99.0        N/A           -99.0        N/A        N/A          -99.0              -99.0                   N/A      N/A        -99.0   
  1       VLBA_COSMOS_NEP0001 22.5374 6.7895  164.7911 150.20196301 1.98015306 3.7E-7      9.7E-7       0.80977368 2.981973E-5 1.342718E-4 3.384048E-5 4.502785 1.342718E-4 3.257402E-5 4.502785 1.342718E-4 24.44625092 23.79277039   0.35061324 450338    150.20204952   1.98010822      cosmosweb       1.6378     1.6378 -99.0      -99       10.11341 9.18715  238.20007287  81.27002486    -1.16741429 6.811587E-5        6.816544E-5   7.059992E-6    2.797964E-5 2.8E-5    2.9E-6   6.816544E-5  1.813918E-5 1.72955E-5  1.13817E-4 1.0616E-4   3.2793E-4 3.61092E-10 5.11101E-4 12.37694189 24.1518312    2.23529688 2.67000358 1.96979312          0.0        2.23529688 2.67000358   false         -99.0        -99.       none         14.49195           22.376194               false    N/A        -99.0   
  2       VLBA_COSMOS_NEP0002 22.7292 6.6807  164.6233 150.20954553 1.98396444 3.7E-7      9.6E-7       0.64825898 2.818688E-5 1.342349E-4 3.359184E-5 4.762318 1.342349E-4 3.283662E-5 4.762318 1.342349E-4 24.57953072 23.90171242   0.18958476 451484    150.20959018   1.98393647      cosmosweb       2.23588    1.9807 2.23588    100       10.85    16.18743 299.69665107  117.79868367   -0.75       3.597348E-5        3.595348E-5   4.250658E-6    2.031129E-5 2.03E-5   2.4E-6   3.844658E-5  1.530726E-5 3.75134E-5  1.2613E-4  4.867E-5    4.8966E-5 5.771E-5    2.50481E-4 12.47668189 24.00740652   2.47946156 3.07463941 3.7335712           0.0        2.47946156 3.07463941   false         -99.0        -99.       none         14.37389           21.996294               false    N/A        -99.0   
  3       VLBA_COSMOS_NEP0003 21.7741 7.3408  165.5352 150.1686297  1.98018    4.2E-7      1.04E-6      0.62899947 3.530778E-5 1.689178E-4 4.160662E-5 4.784152 1.546602E-4 3.981358E-5 4.380344 1.689178E-4 23.46574211 22.78593636   0.31862154 451531    150.16864563   1.98027418      cosmosweb       0.6723     0.6611 0.6723     100       10.60616 7.36126  25.69992702   3.49124009     -0.75       1.383235E-5        1.383235E-5   5.051198E-6    7.81E-6     7.81E-6   2.852E-6 4.335531E-5  1.663973E-5 4.15232E-5  4.0273E-6  8.22E-6     3.8535E-5 1.2419E-4   9.6163E-5  11.40993189 22.37896188   3.04115621 3.34158569 12.21179135         0.0        3.04115621 3.34158569   false         -99.0        -99.       none         14.20007           23.210765               false    N/A        -99.0   
  4       VLBA_COSMOS_NEP0004 20.5055 9.2447  169.5698 150.06822027 1.991035   5.2E-7      1.13E-6      0.88629979 6.558622E-5 2.836782E-4 7.854497E-5 4.325271 2.836782E-4 7.429934E-5 4.325271 2.836782E-4 24.42412567 23.78811264   0.09136927 456806    150.0682204    1.99106038      cosmosweb       1.4218     1.4218 -99.0      -99       10.21594 6.00653  186.50131143  62.96044272    -0.67488687 4.943644E-5        4.950792E-5   4.683182E-6    2.955726E-5 2.96E-5   2.8E-6   4.950792E-5  1.59171E-5  5.00851E-5  7.20179E-6 4.728E-5    4.1232E-5 1.2475E-4   1.1065E-4  12.27068189 23.66597417   2.61489392 3.07491331 5.72995598          0.0        2.61489392 3.07491331   false         -99.0        -99.       none         14.40582           26.004598               false    N/A        -99.0   
  5       VLBA_COSMOS_NEP0005 20.5623 9.0948  168.8614 150.07981519 2.00121222 4.3E-7      9.7E-7       0.41232622 5.332376E-5 2.715133E-4 6.37005E-5  5.091788 2.715133E-4 6.080797E-5 5.091788 2.715133E-4 24.54706001 23.84018898   0.31991429 462193    150.0799028    2.00122741      cosmosweb       1.6435     1.6435 -99.0      -99       10.84725 15.07411 328.30076144  99.99023191    -0.67266676 3.942794E-5        3.94058E-5    4.174343E-6    2.361326E-5 2.36E-5   2.5E-6   4.828723E-5  1.643085E-5 4.18542E-5  1.14093E-5 4.501E-5    3.7468E-5 3.2747E-4   1.01822E-4 12.51627189 23.70882875   2.81762934 3.36691571 6.89018624          0.0        2.81762934 3.36691571   false         -99.0        -99.       none         13.5964            25.085747               false    N/A        -99.0   
  6       VLBA_COSMOS_NEP0006 21.8698 7.1985  165.051  150.1761717  2.00367833 4.1E-7      1.03E-6      0.96687967 2.744902E-5 1.140589E-4 3.068082E-5 4.155298 1.140589E-4 2.99733E-5  4.155298 1.140589E-4 24.36516571 23.74656487   0.32500109 464485    150.17612819   2.00375745      cosmosweb       1.626      1.626  -99.0      -99       10.31888 13.55014 366.39698391  164.69864424   -1.16224672 5.143377E-5        5.140811E-5   6.062277E-6    2.121058E-5 2.12E-5   2.5E-6   2.60671E-5   1.573085E-5 5.70511E-5  3.40975E-6 7.623E-5    3.7888E-5 4.406E-5    1.784E-4   12.56395189 24.01906893   2.55506915 3.04945725 2.21869421          0.0        2.55506915 3.04945725   false         -99.0        -99.       none         12.83997           21.755204               false    N/A        -99.0   
  7       VLBA_COSMOS_NEP0007 20.9255 8.3662  167.0328 150.11835635 2.00288361 4.6E-7      1.06E-6      0.84648955 3.904E-5    1.723909E-4 4.572304E-5 4.415752 1.723909E-4 4.301374E-5 4.415752 1.723909E-4 24.00133705 23.35633087   0.38118588 465742    150.11841908   2.00279828      vla3            1.183      1.04   1.183      8         11.15    13.56067 202.7         14.9476        -0.60522434 4.177926E-5        7.866958E-5   5.392673E-6    2.63412E-5  4.96E-5   3.4E-6   7.866958E-5  1.828232E-5 9.0928E-5   1.2168E-5  1.59E-4     3.8729E-5 2.4524E-4   1.00955E-4 12.30685189 23.66062872   2.65640936 3.06488207 2.19132916          0.0        2.65640936 3.06488207   true          12.460002    -99.       none         12.96421           23.615588               false    N/A        -99.0   
  8       VLBA_COSMOS_NEP0008 23.6291 6.2411  163.9915 150.24232282 2.00777222 3.6E-7      9.6E-7       0.7675215  2.011634E-5 9.26803E-5  2.384662E-5 4.607216 9.26803E-5  2.367084E-5 4.607216 9.26803E-5  23.14034271 22.47690392   0.36350341 467132    150.24223114   2.00772398      cosmosweb       0.5502     0.5502 -99.0      -99       9.85025  6.2444   12.51992969   6.54596324     -1.47727676 2.947314E-5        2.947315E-5   8.200687E-6    9.56E-6     9.56E-6   2.66E-6  3.980906E-5  1.523458E-5 3.36449E-5  3.69578E-6 5.942E-5    3.7425E-5 -1.34E-5    9.5458E-5  11.09760189 22.64278193   2.46500615 2.67115663 3.14456771          0.0        2.46500615 2.67115663   false         -99.0        -99.       none         13.64988           19.98626                false    N/A        -99.0   
  9       VLBA_COSMOS_NEP0009 24.8765 5.9134  163.6948 150.2767458  2.00866806 3.4E-7      9.2E-7       0.83171856 1.844542E-5 8.209304E-5 2.051845E-5 4.450591 8.209304E-5 1.94652E-5  4.450591 8.209304E-5 23.94783783 23.29942131   0.25987708 467646    150.27673663   2.00873966      vla3            1.3394     1.3394 -99.0      -99       11.0     8.32028  152.8         56.8           -1.00389409 3.018919E-5        4.921728E-5   5.373066E-6    1.404654E-5 2.29E-5   2.5E-6   4.921728E-5  1.564763E-5 4.22097E-5  4.00785E-6 9.465E-5    3.7439E-5 1.0898E-4   1.65947E-4 12.18412189 23.72564967   2.46865842 2.88459888 1.66797184          0.0        2.46865842 2.88459888   false         -99.0        -99.       none         14.55105           19.389217               false    N/A        -99.0   
  10      VLBA_COSMOS_NEP0010 20.9712 8.2855  166.719  150.12299136 2.01235694 4.3E-7      1.01E-6      0.76973981 3.461579E-5 1.592934E-4 4.028881E-5 4.601754 1.592934E-4 3.868351E-5 4.601754 1.592934E-4 23.44494247 22.78201866   0.39120805 471669    150.12300411   2.01224281      cosmos2020      0.6754     0.6697 0.6754     25        10.99    6.04892  23.53         3.88995        -0.75       1.161846E-5        1.161847E-5   5.242478E-6    6.56E-6     6.56E-6   2.96E-6  4.495523E-5  1.807165E-5 3.28026E-5  3.39038E-6 1.676E-5    3.7948E-5 7.328E-5    9.4723E-5  11.37162189 22.30789281   3.07391527 3.37872721 13.71036311         0.0        3.07391527 3.37872721   false         -99.0        -99.       none         12.36133           22.99161                false    N/A        -99.0   
  11      VLBA_COSMOS_NEP0011 21.8515 7.1823  164.9211 150.17644555 2.0138925  4.4E-7      1.08E-6      0.85691959 2.504318E-5 1.099827E-4 3.052737E-5 4.391723 1.064408E-4 2.960322E-5 4.25029  1.099827E-4 23.1218605  22.47922516   0.28500234 472404    150.17643743   2.01397125      vla3            0.572      0.5705 0.572      8         9.8      13.15677 39.39         2.9939         -0.78239591 8.947956E-5        1.553966E-4   8.895366E-6    4.928969E-5 8.56E-5   4.9E-6   1.553966E-4  1.729538E-5 1.33359E-4  8.56979E-6 1.9081E-4   3.8372E-5 4.0221E-4   3.66805E-4 11.59538189 23.27197719   2.33359089 2.53522912 0.70775505          0.53425298 2.33359089 2.53522912   false         -99.0        -99.       none         12.2341            21.205697               false    N/A        -99.0   
  12      VLBA_COSMOS_NEP0012 20.8676 8.4573  166.9862 150.11516188 2.017605   4.4E-7      1.01E-6      0.60408348 3.507744E-5 1.688462E-4 4.221523E-5 4.813525 1.688427E-4 3.989148E-5 4.813426 1.688462E-4 24.5586853  23.8762207    0.39660514 473181    150.11526076   2.01765371      cosmosweb       1.6382     1.6382 -99.0      -99       10.84283 31.46629 687.79955421  87.7899431     -1.19744973 1.686462E-4        1.686306E-4   1.071066E-5    6.770625E-5 6.77E-5   4.3E-6   1.686306E-4  1.60132E-5  1.27779E-4  1.34266E-5 1.2193E-4   3.7812E-5 3.7788E-4   1.04658E-4 12.83746189 24.5581298    2.28951829 2.7348456  1.00127821          0.0        2.28951829 2.7348456    true          12.810002    -99.       none         12.11326           23.00311                false    N/A        -99.0   
  13      VLBA_COSMOS_NEP0013 21.7341 7.2704  164.9582 150.17171784 2.02140389 3.5E-7      8.9E-7       0.24716744 2.42009E-5  1.289527E-4 2.896724E-5 5.328428 1.289527E-4 2.681584E-5 5.328428 1.289527E-4 24.36861992 23.64202118   0.25471834 475078    150.17158725   2.02131842      cosmosweb       1.8827     1.8827 -99.0      -99       9.76248  8.65877  226.99792641  89.24918472    -0.69910281 2.870769E-5        2.870769E-5   5.218495E-6    1.685E-5    1.685E-5  3.063E-6 3.786843E-5  1.600838E-5 3.05637E-5  4.71284E-6 3.787E-5    3.7911E-5 3.76E-5     1.29474E-4 12.35602189 23.71618843   2.65001965 3.21728803 4.49192343          0.0        2.65001965 3.21728803   false         -99.0        -99.       none         11.76256           20.961033               false    N/A        -99.0   
  14      VLBA_COSMOS_NEP0014 20.4802 9.8721  170.6835 150.04229688 2.02112167 4.7E-7      1.02E-6      0.67500561 6.21429E-5  2.94133E-4  7.037591E-5 4.733171 2.919825E-4 6.682568E-5 4.698566 2.94133E-4  24.3366375  23.66148376   0.29929452 475551    150.04238447   2.02115391      cosmos2020      1.09       1.1528 1.09       3         10.6     12.42726 50.81         4.08859        -1.1793655  2.992329E-5        2.992328E-5   6.908397E-6    1.218E-5    1.218E-5  2.812E-6 3.11649E-5   1.617672E-5 3.32589E-5  4.4453E-6  4.568E-5    3.566E-5  3.61092E-10 6.9019E-5  11.70595189 23.34410241   2.37203568 2.71503798 9.82956814          0.0        2.37203568 2.71503798   false         -99.0        -99.       none         13.40847           25.710849               false    N/A        -99.0   
  15      VLBA_COSMOS_NEP0015 23.2964 6.2576  163.8738 150.2342408  2.02272167 3.6E-7      9.6E-7       0.83756703 1.836637E-5 8.148828E-5 2.132643E-5 4.436821 8.148828E-5 2.085642E-5 4.436821 8.148828E-5 23.72927666 23.08220482   0.3778285  476380    150.23431312   2.02264557      vla3            1.194      1.184  1.194      8         10.6     16.94547 135.6         8.00214        -0.73496723 2.774561E-4        3.221714E-4   1.663385E-5    1.58462E-4  1.84E-4   9.5E-6   3.221714E-4  1.784619E-5 -99.0       1.0E7      5.0449E-4   3.9244E-5 0.00119309  1.20674E-4 12.13226189 24.32626839   1.8161797  2.09738189 0.25293456          0.12664135 1.8161797  2.09738189   false         -99.0        -99.       none         12.64182           19.298818               false    N/A        -99.0   
  16      VLBA_COSMOS_NEP0016 21.5461 7.4752  165.2027 150.16164617 2.02412944 3.6E-7      9.1E-7       0.40914404 2.53965E-5  1.294548E-4 2.949888E-5 5.09735  1.294548E-4 2.74046E-5  5.09735  1.294548E-4 23.80480003 23.09745598   0.37557533 478609    150.16154282   2.02414418      vla3            0.959      1.0105 0.959      8         11.15    10.2738  52.4          5.10035        -1.06688175 3.010594E-5        3.021589E-5   5.18631E-6     1.335124E-5 1.34E-5   2.3E-6   3.248437E-5  1.637787E-5 3.32473E-5  6.80399E-6 8.807E-5    3.7922E-5 2.2703E-4   1.03535E-4 11.71933189 23.17291732   2.55660077 2.89179281 4.28432901          0.0        2.55660077 2.89179281   false         -99.0        -99.       none         11.54552           21.12149                false    N/A        -99.0   
  17      VLBA_COSMOS_NEP0017 24.2877 5.9555  163.6213 150.26400051 2.02750194 3.6E-7      9.7E-7       0.87509823 1.632653E-5 7.102386E-5 1.904688E-5 4.350212 7.102386E-5 1.800565E-5 4.350212 7.102386E-5 24.15421295 23.5157032    0.32785744 478716    150.26404368   2.02741271      cosmosweb       1.6443     1.6443 -99.0      -99       10.85189 6.94876  233.79859125  94.63942975    -1.12035331 2.940585E-5        2.940585E-5   6.75254E-6     1.252E-5    1.252E-5  2.875E-6 3.357782E-5  1.573096E-5 3.25114E-5  5.31992E-6 4.164E-5    4.0516E-5 6.7E-6      1.24579E-4 12.36884189 23.7712427    2.60778538 3.11633621 2.41529731          0.0        2.60778538 3.11633621   false         -99.0        -99.       none         13.1955            18.479128               false    N/A        -99.0   
