# id_vlba RUNNING_ID_name     bmaj    bmin    bpa      ra_peak      dec_peak   ra_peak_err dec_peak_err p_spur     rms_image   peak_flux   peak_dflux  snr_peak tot_flux    tot_dflux   snr_tot  FLUX_VLBA   L_VLBA      L_VLBA_1sigma sep_arcsec ID_COSMOS RA_counterpart DEC_counterpart cat_ctp    zbest      zphot  zspec   zspec_ref Mstar    SNR_IR   SFR_IR         eSFR_IR        vla_slope   f1p4ghz_peak_final f1p4ghz_final df1p4ghz_final f3ghz_peak  f3ghz     df3ghz   f1p4ghz      df1p4ghz    f1p3ghz     df1p3ghz   f600mhz     df600mhz  f300mhz     df300mhz   LIR_SD      Lradio_1p4ghz q_IR        q_IR_z0p5   flux_ratio_vlba_vla delta_q_IR q_IR_corr   q_IR_z0p5_corr flag_A3COSMOS LIR_A3COSMOS id_cluster flag_cluster dist_center_arcmin dist_real_center_arcmin xray_det id_chandra Lx_2_10 
  0       VLBA_COSMOS_NEP0000 26.5744 4.3753  161.8671 -99.0        -99.0      -99.0       -99.0        -99.0      4.994192E-6 -99.0       -99.0       -99.0    -99.0       -99.0       -99.0    -99.0       -99.0       -99.0         -99.0      -99       -99.0          -99.0           N/A        -99.0      -99.0  -99.0   -99       -99.0    -99.0    -99.0          -99.0          -99.0       -99.0              -99.0         -99.0          -99.0       -99.0     -99.0    -99.0        -99.0       -99.0       -99.0      -99.0       -99.0     -99.0       -99.0      -99.0       -99.0         -99.0       -99.0       -99.0               -99.0      -99.0       -99.0          N/A           -99.0        N/A        N/A          -99.0              -99.0                   N/A      N/A        -99.0   
  1       VLBA_COSMOS_NEP0001 22.5374 6.7895  164.7911 150.20196301 1.98015306 3.7E-7      9.7E-7       0.80977368 1.15279E-5  5.152E-5    9.49E-6     4.502785 5.152E-5    9.49E-6     4.502785 5.152E-5    24.03024292 23.38001633   0.35061324 117963    150.20204952   1.98010822      vla3       1.63779998 1.6378 -99.0   -99       10.11341 9.18715  238.20006508   81.2700222     -1.16741429 6.811587E-5        5.152E-5      9.49E-6        2.797964E-5 2.8E-5    2.9E-6   6.816544E-5  1.813918E-5 1.72955E-5  1.13817E-4 1.0616E-4   3.2793E-4 3.61092E-10 5.11101E-4 12.37694188 24.03024276   2.35688531  2.64772407  1.0                 0.0        2.35688531  2.64772407     false         -99.0        -99.       none         14.49195           22.376194               false    N/A        -99.0   
  2       VLBA_COSMOS_NEP0002 22.7292 6.6807  164.6233 150.20954553 1.98396444 3.7E-7      9.6E-7       0.64825898 2.818688E-5 3.735E-5    7.2E-6      4.762318 3.735E-5    7.2E-6      4.762318 3.735E-5    24.04945564 23.92721176   0.18958476 118738    150.20959018   1.98393647      vla3       2.23588    2.7718 2.23588 70        10.85    16.18743 299.69665107   117.79868367   -0.80000001 3.737077E-5        3.735E-5      7.2E-6         2.031129E-5 2.03E-5   2.4E-6   3.844658E-5  1.530726E-5 3.75134E-5  1.2613E-4  4.867E-5    4.8966E-5 5.771E-5    2.50481E-4 12.47668189 24.04945574   2.43741234  2.85599821  1.0                 0.0        2.43741234  2.85599821     false         -99.0        -99.       none         14.37389           21.996294               false    N/A        -99.0   
  3       VLBA_COSMOS_NEP0003 21.7741 7.3408  165.5352 150.16866555 1.98037528 3.8E-7      9.6E-7       0.58534491 3.530778E-5 4.152E-5    4.03E-6     4.836623 4.152E-5    4.03E-6     4.836623 4.152E-5    22.86748886 22.79710197   0.37094428 335581    150.16864563   1.98027418      cosmos_web 0.6723     0.597  0.6723  56        10.60616 7.36126  25.69992702    3.49124009     -0.80000001 1.436963E-5        4.152E-5      4.03E-6        7.81E-6     7.81E-6   2.852E-6 4.335531E-5  1.663973E-5 4.15232E-5  4.0273E-6  8.22E-6     3.8535E-5 1.2419E-4   9.6163E-5  11.40993189 22.86748896   2.55262912  2.61049009  1.0                 0.0        2.55262912  2.61049009     false         -99.0        -99.       none         14.20007           23.210765               false    N/A        -99.0   
  4       VLBA_COSMOS_NEP0004 20.5055 9.2447  169.5698 150.06822027 1.991035   5.2E-7      1.13E-6      0.88629979 6.558622E-5 5.009E-5    7.2E-6      4.325271 5.009E-5    7.2E-6      4.325271 5.009E-5    23.66512108 23.78218269   0.09136927 292850    150.0682204    1.99106038      vla3       1.4455     1.4218 1.4455  31        10.21594 6.00653  194.27603288   65.58508863    -0.61749085 4.732051E-5        5.009E-5      7.2E-6         2.955726E-5 2.96E-5   2.8E-6   4.950792E-5  1.59171E-5  5.00851E-5  7.20179E-6 4.728E-5    4.1232E-5 1.2475E-4   1.1065E-4  12.28841923 23.66512203   2.63348339  2.9126501   1.0                 0.0        2.63348339  2.9126501      false         -99.0        -99.       none         14.40582           26.004598               false    N/A        -99.0   
  5       VLBA_COSMOS_NEP0005 20.5623 9.0948  168.8614 150.07981519 2.00121222 4.3E-7      9.7E-7       0.41232622 5.332376E-5 4.29E-5     1.397E-5    5.091788 4.29E-5     1.397E-5    5.091788 4.29E-5     23.74572563 23.84018898   0.31991429 294855    150.0799028    2.00122741      vla3       1.64349997 1.6435 -99.0   -99       10.84725 15.07411 328.30074689   99.99022748    -0.67266676 3.942794E-5        4.29E-5       1.397E-5       2.361326E-5 2.36E-5   2.5E-6   4.828723E-5  1.643085E-5 4.18542E-5  1.14093E-5 4.501E-5    3.7468E-5 3.2747E-4   1.01822E-4 12.51627187 23.74572583   2.78073224  3.12526384  1.0                 0.0        2.78073224  3.12526384     false         -99.0        -99.       none         13.5964            25.085747               false    N/A        -99.0   
  6       VLBA_COSMOS_NEP0006 21.8698 7.1985  165.051  150.1761717  2.00367833 4.1E-7      1.03E-6      0.96687967 2.744902E-5 5.705E-5    3.41E-6     4.155298 5.705E-5    3.41E-6     4.155298 5.705E-5    24.06429291 23.74656487   0.32500109 119804    150.17612819   2.00375745      vla3       1.62600005 1.626  -99.0   -99       10.31888 13.55014 366.39700985   164.6986559    -1.16224672 5.143377E-5        5.705E-5      3.41E-6        2.121058E-5 2.12E-5   2.5E-6   2.60671E-5   1.573085E-5 5.70511E-5  3.40975E-6 7.623E-5    3.7888E-5 4.406E-5    1.784E-4   12.56395192 24.06429296   2.50984515  2.81695448  1.0                 0.0        2.50984515  2.81695448     false         -99.0        -99.       none         12.83997           21.755204               false    N/A        -99.0   
  7       VLBA_COSMOS_NEP0007 20.9255 8.3662  167.0328 150.11835635 2.00288361 4.6E-7      1.06E-6      0.84648955 1.256669E-5 6.91168E-5  4.572304E-5 4.415752 6.91168E-5  4.301374E-5 4.415752 6.91168E-5  23.64057159 22.90020943   0.38118588 296949    150.11841908   2.00279828      vla3       1.18313    1.0947 1.18313 10        11.0808  13.56067 338.31410925   24.94812027    -0.71156507 4.530632E-5        9.093E-5      1.217E-5       2.63412E-5  4.96E-5   3.4E-6   7.866958E-5  1.828232E-5 9.0928E-5   1.2168E-5  1.59E-4     3.8729E-5 2.4524E-4   1.00955E-4 12.52932011 23.75969492   2.77981139  3.00339901  0.76010992          0.61998771 2.77981139  3.00339901     true          12.460002    -99.       none         12.96421           23.615588               false    N/A        -99.0   
  8       VLBA_COSMOS_NEP0008 23.6291 6.2411  163.9915 150.24232282 2.00777222 3.6E-7      9.6E-7       0.7675215  2.011634E-5 3.364E-5    3.7E-6      4.607216 3.364E-5    3.7E-6      4.607216 3.364E-5    22.70021057 22.47690392   0.3727793  123818    150.24223114   2.00772398      cosmos_web 0.55019999 0.5502 -99.0   -99       9.85025  6.2444   12.51992889    6.54596282     -1.47727676 2.947314E-5        3.364E-5      3.7E-6         9.56E-6     9.56E-6   2.66E-6  3.980906E-5  1.523458E-5 3.36449E-5  3.69578E-6 5.942E-5    3.7425E-5 -1.34E-5    9.5458E-5  11.09760186 22.70021138   2.40757667  2.42396943  1.0                 0.0        2.40757667  2.42396943     false         -99.0        -99.       none         13.64988           19.98626                false    N/A        -99.0   
  9       VLBA_COSMOS_NEP0009 24.8765 5.9134  163.6948 150.2767458  2.00866806 3.4E-7      9.2E-7       0.83171856 1.159017E-5 4.221E-5    4.01E-6     4.450591 4.221E-5    4.01E-6     4.450591 4.221E-5    23.59477043 23.03344536   0.25987708 125644    150.27673663   2.00873966      vla3       1.39579999 1.3958 -99.0   -99       11.09454 8.32028  136.10291437   50.59322995    -0.71794722 2.427756E-5        4.221E-5      4.01E-6        1.404654E-5 2.29E-5   2.5E-6   4.921728E-5  1.564763E-5 4.22097E-5  4.00785E-6 9.465E-5    3.7439E-5 1.0898E-4   1.65947E-4 12.13386742 23.59477051   2.54928311  2.80761573  1.0                 0.0        2.54928311  2.80761573     false         -99.0        -99.       none         14.55105           19.389217               false    N/A        -99.0   
